source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Negotiations on DACA have begun. Republicans want to make a deal and Democrats say they want to make a deal. Wouldn’t it be great if we could finally after so many years solve the DACA puzzle. This will be our last chance there will never be another opportunity! March 5th.,2/13/2018 10:52,19802,86897,FALSE,963365328716812288
Twitter for iPhone,Our infrastructure plan has been put forward and has received great reviews by everyone except of course the Democrats. After many years we have taken care of our Military now we have to fix our roads bridges tunnels airports and more. Bipartisan make deal Dems?,2/13/2018 10:43,21457,96494,FALSE,963362959463469058
Twitter for iPhone,The journey to #MAGA began @CPAC 2011 and the opportunity to reconnect with friends and supporters is something I look forward to every year. See you at #CPAC2018!,2/12/2018 20:48,13647,62775,FALSE,963152799486828544
Twitter for iPhone,Thank you to Sue Kruczek who lost her wonderful and talented son Nick to the Opioid scourge for your kind words while on @foxandfriends. We are fighting this terrible epidemic hard - Nick will not have died in vain!,2/12/2018 12:54,16333,82446,FALSE,963033580107653120
Twitter for iPhone,This will be a big week for Infrastructure. After so stupidly spending $7 trillion in the Middle East it is now time to start investing in OUR Country!,2/12/2018 12:46,29430,132369,FALSE,963031666150313984
Twitter for iPhone,Just spoke to @JohnKasich to express condolences and prayers to all for the horrible shooting of two great police officers from @WestervillePD. This is a true tragedy!,2/11/2018 20:36,14563,74041,FALSE,962787355932360706
Twitter for iPhone,Rep. Lou Barletta a Great Republican from Pennsylvania who was one of my very earliest supporters will make a FANTASTIC Senator. He is strong &amp; smart loves Pennsylvania &amp; loves our Country! Voted for Tax Cuts unlike Bob Casey who listened to Tax Hikers Pelosi and Schumer!,2/11/2018 20:26,23532,93637,FALSE,962784821389996033
Twitter for iPhone,4.2 million hard working Americans have already received a large Bonus and/or Pay Increase because of our recently Passed Tax Cut &amp; Jobs Bill....and it will only get better! We are far ahead of schedule.,2/11/2018 19:15,24618,120619,FALSE,962767075457593344
Twitter for iPhone,So many positive things going on for the U.S.A. and the Fake News Media just doesn’t want to go there. Same negative stories over and over again! No wonder the People no longer trust the media whose approval ratings are correctly at their lowest levels in history!    #MAGA,2/11/2018 18:21,30615,120190,FALSE,962753552824365056
Media Studio,My Administration has identified three major priorities for creating a safe modern and lawful immigration system: fully securing the border ending chain migration and canceling the visa lottery. Congress must secure the immigration system and protect Americans. https://t.co/xV1lgfhjBU,2/10/2018 23:34,31579,115946,FALSE,962469767109009408
Twitter for iPhone,My thoughts and prayers are with the two police officers their families and everybody at the @WestervillePD. https://t.co/AoingY77Ky,2/10/2018 21:18,20340,82756,FALSE,962435602296786944
Twitter for iPhone,Republicans want to fix DACA far more than the Democrats do. The Dems had all three branches of government back in 2008-2011 and they decided not to do anything about DACA. They only want to use it as a campaign issue. Vote Republican!,2/10/2018 18:50,30294,115856,FALSE,962398269593784321
Twitter for iPhone,....agencies not just the FBI &amp; DOJ now the State Department to dig up dirt on him in the days leading up to the Election. Comey had conversations with Donald Trump which I don’t believe were accurate...he leaked information (corrupt).” Tom Fitton of Judicial Watch on @FoxNews,2/10/2018 18:34,19831,73868,FALSE,962394439846191105
Twitter for iPhone,“My view is that not only has Trump been vindicated in the last several weeks about the mishandling of the Dossier and the lies about the Clinton/DNC Dossier it shows that he’s been victimized. He’s been victimized by the Obama Administration who were using all sorts of.......,2/10/2018 18:16,25655,99310,FALSE,962389786328797184
Twitter for iPhone,Peoples lives are being shattered and destroyed by a mere allegation. Some are true and some are false. Some are old and some are new. There is no recovery for someone falsely accused - life and career are gone. Is there no such thing any longer as Due Process?,2/10/2018 15:33,37151,134780,FALSE,962348831789797381
Twitter for iPhone,According to the @nytimes a Russian sold phony secrets on “Trump” to the U.S. Asking price was $10 million brought down to $1 million to be paid over time. I hope people are now seeing &amp; understanding what is going on here. It is all now starting to come out - DRAIN THE SWAMP!,2/10/2018 15:20,32715,103843,FALSE,962345433170415616
Twitter for iPhone,The Democrats sent a very political and long response memo which they knew because of sources and methods (and more) would have to be heavily redacted whereupon they would blame the White House for lack of transparency. Told them to re-do and send back in proper form!,2/10/2018 14:20,32287,116024,FALSE,962330457886076928
Twitter for iPhone,Jobless claims have dropped to a 45 year low!,2/10/2018 14:02,13708,63164,FALSE,962326008127946752
Twitter for iPhone,Costs on non-military lines will never come down if we do not elect more Republicans in the 2018 Election and beyond. This Bill is a BIG VICTORY for our Military but much waste in order to get Dem votes. Fortunately DACA not included in this Bill negotiations to start now!,2/9/2018 13:59,21421,88327,FALSE,961962694650757121
Twitter for iPhone,Without more Republicans in Congress we were forced to increase spending on things we do not like or want in order to finally after many years of depletion take care of our Military. Sadly we needed some Dem votes for passage. Must elect more Republicans in 2018 Election!,2/9/2018 13:47,28111,109273,FALSE,961959738853548033
Twitter for iPhone,Just signed Bill. Our Military will now be stronger than ever before. We love and need our Military and gave them everything — and more. First time this has happened in a long time. Also means JOBS JOBS JOBS!,2/9/2018 13:39,27134,128618,FALSE,961957671246159875
Twitter for iPhone,Wow! -Senator Mark Warner got caught having extensive contact with a lobbyist for a Russian oligarch. Warner did not want a “paper trail” on a “private” meeting (in London) he requested with Steele of fraudulent Dossier fame. All tied into Crooked Hillary.,2/9/2018 3:22,39997,126701,FALSE,961802557646569475
Twitter for iPhone,Time to end the visa lottery. Congress must secure the immigration system and protect Americans. https://t.co/yukxm48x9X,2/8/2018 23:26,24082,96684,FALSE,961743032952459264
Twitter for iPad,As long as we open our eyes to God’s grace - and open our hearts to God’s love - then America will forever be the land of the free the home of the brave and a light unto all nations. #NationalPrayerBreakfast https://t.co/1cwxs3l0uK,2/8/2018 20:10,30594,108803,FALSE,961693860916289536
Twitter for iPhone,I will be meeting with Henry Kissinger at 1:45pm. Will be discussing North Korea China and the Middle East.,2/8/2018 18:44,13603,78884,FALSE,961671974153080834
Twitter for iPad,Our founders invoked our Creator four times in the Declaration of Independence. Our currency declares “IN GOD WE TRUST.” And we place our hands on our hearts as we recite the Pledge of Allegiance and proclaim that we are “One Nation Under God.” #NationalPrayerBreakfast https://t.co/zukP40Ezpo,2/8/2018 17:13,29225,105692,FALSE,961649129834283008
Twitter for iPhone,Will be heading over shortly to make remarks at The National Prayer Breakfast in Washington. Great religious and political leaders and many friends including T.V. producer Mark Burnett of our wonderful 14 season Apprentice triumph will be there. Looking forward to seeing all!,2/8/2018 11:08,17915,105533,FALSE,961557382387167238
Twitter for iPhone,The Budget Agreement today is so important for our great Military. It ends the dangerous sequester and gives Secretary Mattis what he needs to keep America Great. Republicans and Democrats must support our troops and support this Bill!,2/7/2018 22:36,23276,108644,FALSE,961368036782628864
Media Studio,Congratulations to the Republic of Korea on what will be a MAGNIFICENT Winter Olympics! What the South Korean people have built is truly an inspiration! https://t.co/giN2B1h6Ph,2/7/2018 22:13,13306,69648,FALSE,961362249880252416
Media Studio,Best wishes to the Republic of Korea on hosting the @Olympics! What a wonderful opportunity to show everyone that you are a truly GREAT NATION! https://t.co/aboM2Up48y,2/7/2018 18:01,12756,64654,FALSE,961298788219420672
Twitter for iPhone,NEW FBI TEXTS ARE BOMBSHELLS!,2/7/2018 16:10,40098,137643,FALSE,961270833569202176
Twitter for iPhone,In the “old days” when good news was reported the Stock Market would go up. Today when good news is reported the Stock Market goes down. Big mistake and we have so much good (great) news about the economy!,2/7/2018 14:59,22057,111910,FALSE,961253168968622086
Twitter for iPhone,Congratulations @ElonMusk and @SpaceX on the successful #FalconHeavy launch. This achievement along with @NASA’s commercial and international partners continues to show American ingenuity at its best! https://t.co/eZfLSpyJPK,2/7/2018 3:05,31770,166619,FALSE,961073467784421382
Twitter for iPhone,HAPPY BIRTHDAY to our 40th President of the United States of America Ronald Reagan! https://t.co/JtEglBhm4c,2/7/2018 0:48,33087,180660,FALSE,961038807658352640
Media Studio,Today we heard the experiences of law enforcement professionals and community leaders working to combat the threat of MS-13 and the reforms we need from Congress to defeat it. Watch here: https://t.co/VPMTnko7Ik https://t.co/4OaXXuj9Va,2/6/2018 22:45,18477,75474,FALSE,961008057756127232
Twitter for iPhone,We need a 21st century MERIT-BASED immigration system.  Chain migration and the visa lottery are outdated programs that hurt our economic and national security. https://t.co/rP9Gtr2E5N,2/6/2018 16:05,25773,92162,FALSE,960907362109452288
Twitter for iPhone,Polling shows nearly 7 in 10 Americans support an immigration reform package that includes DACA fully secures the border ends chain migration &amp; cancels the visa lottery. If D’s oppose this deal they aren’t serious about DACA-they just want open borders. https://t.co/XDMcDOr9vM,2/6/2018 16:00,23712,89121,FALSE,960906105982464000
Twitter for iPhone,My prayers and best wishes are with the family of Edwin Jackson a wonderful young man whose life was so senselessly taken. @Colts,2/6/2018 13:37,21048,104141,FALSE,960869939694505984
Twitter for iPhone,So disgraceful that a person illegally in our country killed @Colts linebacker Edwin Jackson. This is just one of many such preventable tragedies. We must get the Dems to get tough on the Border and with illegal immigration FAST!,2/6/2018 13:32,36325,142482,FALSE,960868920428253184
Twitter for iPhone,Thanks to the historic TAX CUTS that I signed into law your paychecks are going way UP your taxes are going way DOWN and America is once again OPEN FOR BUSINESS! https://t.co/GISFbDDGXX,2/5/2018 20:42,22952,105480,FALSE,960614513224667136
Twitter for iPhone,Representative Devin Nunes a man of tremendous courage and grit may someday be recognized as a Great American Hero for what he has exposed and what he has had to endure!,2/5/2018 15:08,35986,133482,FALSE,960530665702912000
Twitter for iPhone,Any deal on DACA that does not include STRONG border security and the desperately needed WALL is a total waste of time. March 5th is rapidly approaching and the Dems seem not to care about DACA. Make a deal!,2/5/2018 14:36,30151,123000,FALSE,960522569492426753
Twitter for iPhone,Little Adam Schiff who is desperate to run for higher office is one of the biggest liars and leakers in Washington right up there with Comey Warner Brennan and Clapper! Adam leaves closed committee hearings to illegally leak confidential information. Must be stopped!,2/5/2018 12:39,43308,142085,FALSE,960492998734868480
Twitter for iPhone,Thank you to @foxandfriends for exposing the truth. Perhaps that’s why your ratings are soooo much better than your untruthful competition!,2/5/2018 12:17,22941,107331,FALSE,960487657691385856
Twitter for iPhone,The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working. Dems want to greatly raise taxes for really bad and non-personal medical care. No thanks!,2/5/2018 12:11,30857,120677,FALSE,960486144818450432
Twitter for iPhone,Congratulations to the Philadelphia Eagles on a great Super Bowl victory!,2/5/2018 3:54,36504,212185,FALSE,960361010904338432
Twitter for iPhone,My thoughts and prayers are with all of the victims involved in this mornings train collision in South Carolina. Thank you to our incredible First Responders for the work they’ve done!,2/4/2018 16:58,23234,141714,FALSE,960195808141414400
Twitter for iPhone,...a tool of anti-Trump political actors. This is unacceptable in a democracy and ought to alarm anyone who wants the FBI to be a nonpartisan enforcer of the law....The FBI wasn’t straight with Congress as it hid most of these facts from investigators.” Wall Street Journal,2/4/2018 0:53,35993,130710,FALSE,959952974826098688
Twitter for iPhone,“The four page memo released Friday reports the disturbing fact about how the FBI and FISA appear to have been used to influence the 2016 election and its aftermath....The FBI failed to inform the FISA court that the Clinton campaign had funded the dossier....the FBI became....,2/4/2018 0:40,37089,130572,FALSE,959949725028974592
Twitter for iPhone,Great jobs numbers and finally after many years rising wages- and nobody even talks about them. Only Russia Russia Russia despite the fact that after a year of looking there is No Collusion!,2/4/2018 0:26,30282,135929,FALSE,959946200488271872
Twitter for iPhone,This memo totally vindicates “Trump” in probe. But the Russian Witch Hunt goes on and on. Their was no Collusion and there was no Obstruction (the word now used because after one year of looking endlessly and finding NOTHING collusion is dead). This is an American disgrace!,2/3/2018 14:40,39373,141825,FALSE,959798743842349056
Twitter for iPhone,Rasmussen just announced that my approval rating jumped to 49% a far better number than I had in winning the Election and higher than certain “sacred cows.” Other Trump polls are way up also. So why does the media refuse to write this? Oh well someday!,2/3/2018 14:40,35028,156528,FALSE,959798726381457409
Twitter for iPhone,RT @EricTrump: #MakeAmericaGreatAgain ???????????? https://t.co/CJts3udtNO,2/3/2018 13:44,12746,0,TRUE,959784619712401410
Twitter for iPhone,RT @EricTrump: ???????????? https://t.co/iszxYp036c,2/3/2018 13:39,12320,0,TRUE,959783486289793024
Twitter for iPad,Today it was my honor to join the great men and women of @DHSgov @CustomsBorder @ICEgov and @USCIS at the U.S. Customs and Border Protection National Targeting Center in Sterling Virginia. Fact sheet: https://t.co/Q027Wgdzdo https://t.co/NecuA0y1Sk,2/2/2018 22:26,14640,70815,FALSE,959553606134345728
Twitter for iPad,“Trump the orator outlines the greatness of America to Democrats’ disgust” https://t.co/XpirrtTY6V,2/2/2018 18:07,17668,77497,FALSE,959488369293254658
Twitter for iPad,With 3.5 million Americans receiving bonuses or other benefits from their employers as a result of TAX CUTS 2018 is off to great start!?Unemployment rate at 4.1%.?Average earnings up 2.9% in the last year.?200000 new American jobs.?#MAGA???? https://t.co/upqSvBhRqJ,2/2/2018 18:05,27612,108001,FALSE,959488037766955009
Twitter for iPhone,“You had Hillary Clinton and the Democratic Party try to hide the fact that they gave money to GPS Fusion to create a Dossier which was used by their allies in the Obama Administration to convince a Court misleadingly by all accounts to spy on the Trump Team.” Tom Fitton JW,2/2/2018 11:49,52196,161790,FALSE,959393270144086016
Twitter for iPhone,The top Leadership and Investigators of the FBI and the Justice Department have politicized the sacred investigative process in favor of Democrats and against Republicans - something which would have been unthinkable just a short time ago. Rank &amp; File are great people!,2/2/2018 11:33,40485,139320,FALSE,959389424806191104
Twitter for iPhone,The Democrats just aren’t calling about DACA. Nancy Pelosi and Chuck Schumer have to get moving fast or they’ll disappoint you again. We have a great chance to make a deal or blame the Dems! March 5th is coming up fast.,2/2/2018 3:32,28861,124186,FALSE,959268334935203840
Twitter for iPhone,Thank you for all of the nice compliments and reviews on the State of the Union speech. 45.6 million people watched the highest number in history. @FoxNews beat every other Network for the first time ever with 11.7 million people tuning in. Delivered from the heart!,2/1/2018 12:02,37401,184859,FALSE,959034299222843394
Twitter for iPhone,March 5th is rapidly approaching and the Democrats are doing nothing about DACA. They Resist Blame Complain and Obstruct - and do nothing. Start pushing Nancy Pelosi and the Dems to work out a DACA fix NOW!,2/1/2018 11:51,29928,123421,FALSE,959031505145212928
Twitter for iPhone,Heading to beautiful West Virginia to be with great members of the Republican Party. Will be planning Infrastructure and discussing Immigration and DACA not easy when we have no support from the Democrats. NOT ONE DEM VOTED FOR OUR TAX CUT BILL! Need more Republicans in ‘18.,2/1/2018 11:43,28515,138084,FALSE,959029384052166657
